id;id_comune;tipo_verde;genere_e_specie;valore_sicurezza;valore_bio_ambientale
1;0;AL;-;0;0
2;0;SI;-;0;0
3;0;AR;-;0;0
4;298;AL;ABIES ALBA;35;6
5;299;AL;ABIES CEPHALONICA;35;6
6;254;AL;ABIES CONCOLOR;35;6
7;280;AL;ABIES NORDMANNIANA;35;6
8;197;AL;ACACIA DEALBATA;10;0
9;171;AL;ACER CAMPESTRE;35;8
10;31;AL;ACER JAPONICUM;35;8
11;33;AL;ACER NEGUNDO;35;8
12;282;AL;ACER NEGUNDO 'VARIEGATA';35;8
13;195;AL;ACER PALMATUM;35;8
14;35;AL;ACER PLATANOIDES;35;8
15;272;AL;ACER PLATANOIDES 'DRUMMONDII';35;8
16;174;AL;ACER PLATANOIDES 'KRIMSON KING';35;8
17;36;AL;ACER PSEUDOPLATANUS;35;8
18;37;AL;ACER SACCHARINUM;35;8
19;253;AL;ACER SP;0;0
20;28;AL;AESCULUS CARNEA;100;7
21;39;AL;AESCULUS HIPPOCASTANUM;100;7
22;40;AL;AILANTHUS ALTISSIMA;100;3
23;29;AL;ALBIZZIA JULIBRISSIN;10;0
24;277;AL;ALNUS CORDATA;35;6
25;43;AL;ALNUS GLUTINOSA;35;6
26;51;AR;AMELANCHIER LAMARCKI;0;0
27;220;AR;AZALEA JAPONICA;0;0
28;16;SI;BERBERIS THUMBERGII;0;0
29;54;AR;BERBERIS THUNBERGII;0;0
30;44;AL;BETULA ALBA;35;6
31;45;AL;BETULA PENDULA;0;6
32;284;AL;BROUSSONETIA PAPYRIFERA;35;6
33;20;AR;BUDDLEIA DAVIDII;0;0
34;214;AR;BUXUS SEMPERVIRENS;0;0
35;231;SI;BUXUS SEMPERVIRENS;0;0
36;258;AL;BUXUS SEMPERVIRENS;0;0
37;184;AL;CALOCEDRUS DECURRENS;90;5
38;46;AL;CARPINUS BETULUS;10;10
39;249;SI;"CARPINUS BETULUS ""FASTIGIATA""";0;0
40;47;AL;CARPINUS BETULUS 'FASTIGIATA';10;10
41;48;AL;CARPINUS BETULUS 'PYRAMIDALIS';10;10
42;49;AL;CASTANEA SATIVA;35;7
43;50;AL;CATALPA BIGNONIOIDES;75;5
44;51;AL;CEDRUS ATLANTICA;90;5
45;52;AL;CEDRUS ATLANTICA 'GLAUCA';90;5
46;170;AL;CEDRUS BREVIFOLIA;90;5
47;53;AL;CEDRUS DEODARA;90;5
48;242;AL;CEDRUS LIBANI;90;5
49;54;AL;CELTIS AUSTRALIS;10;7
50;55;AL;CERCIS SILIQUASTRUM;10;7
51;56;AL;CHAMAECYPARIS LAWSONIANA;35;5
52;271;AL;CHAMAECYPARIS SPP.;0;0
53;58;AL;CHAMAEROPS HUMILIS;10;5
54;283;AL;CLERODENDRON TRICHOTOMUM;10;7
55;209;AR;CORNUS ALBA;0;0
56;49;AR;CORNUS MAS;0;0
57;240;SI;CORNUS SPP.;0;0
58;59;C;CORYLUS AVELLANA;10;8
59;48;AR;CORYLUS AVELLANA;0;0
60;259;AL;CORYLUS COLURNA;0;0
61;31;AR;CORYLUS MAXMA;0;0
62;19;AR;CORYLUS MAXMA 'PURPUREA';0;0
63;245;SI;CORYLUS SPP.;0;0
64;45;AR;COTONEASTER HORIZONTALIS;0;0
65;238;SI;COTONEASTER SPP.;0;0
66;292;AL;CRATAEGUS CRUS-GALLI;10;7
67;248;SI;CRATAEGUS LAEVIGATA;0;0
68;182;AL;CRATAEGUS LAEVIGATA;10;7
69;177;AL;CRATAEGUS MONOGYNA;10;7
70;178;AL;CRATAEGUS OXYACANTHA;10;7
71;260;AL;CUPRESSUS ARIZONICA;60;6
72;181;AL;CUPRESSUS ARIZONICA 'CONICA';60;6
73;294;AL;CUPRESSUS ARIZONICA 'GLAUCA';60;6
74;61;AL;CUPRESSUS GLABRA;60;6
75;252;AL;CUPRESSUS KASMERIANA;0;0
76;62;AL;CUPRESSUS SEMPERVIRENS;60;6
77;248;AL;CUPRESSUS SP;0;0
78;210;AR;CYTISUS PRAECOX;0;0
79;65;AL;DIOSPYROS KAKI;10;7
80;278;AL;ERIOBOTRYA JAPONICA;0;0
81;215;AR;ERYOBOTRYA JAPONICA;0;0
82;55;AR;EUONYMUS FORTUNEI;0;0
83;68;AL;FAGUS SYLVATICA;10;10
84;69;AL;FAGUS SYLVATICA 'ASPLENIFOLIA';10;10
85;175;AL;FAGUS SYLVATICA 'ATROPURPUREA';10;10
86;70;AL;FAGUS SYLVATICA 'FASTIGIATA';10;10
87;71;AL;FAGUS SYLVATICA 'PENDULA';10;10
88;72;AL;FICUS CARICA;10;7
89;255;AL;FIRMIANA SIMPLEX;0;0
90;200;SI;FORSITHYA X INTERMEDIA;0;0
91;12;AR;FORSITHYA X INTERMEDIA;0;0
92;73;AL;FRAXINUS ANGUSTIFOLIA;35;7
93;74;AL;FRAXINUS EXCELSIOR;35;7
94;75;AL;FRAXINUS ORNUS;35;7
95;290;AL;FRAXINUS SPP.;0;0
96;77;AL;GINKGO BILOBA;10;5
97;173;AL;GLEDITSCHIA TRIACANTHOS;35;5
98;296;AL;GYMNOCLADUS DIOICUS;0;0
99;29;AR;HEDERA HELIX;0;0
100;235;SI;HEDERA HELIX;0;0
101;78;AL;HIBISCUS SYRIACUS;10;6
102;15;AR;HIBISCUS SYRIACUS;0;0
103;14;SI;HIBISCUS SYRIACUS;0;0
104;228;SI;HYDRANGEA HORTENSIS;0;0
105;79;AL;ILEX AQUIFOLIUM;10;6
106;234;SI;ILEX AQUIFOLIUM;0;0
107;219;AR;ILEX AQUIFOLIUM;0;0
108;80;AL;ILEX AQUIFOLIUM 'VARIEGATA';10;6
109;82;AL;JUGLANS NIGRA;35;6
110;83;AL;JUGLANS REGIA;35;5
